radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820280313,0,8,0,0,0,0,0,0,8,0
820280314,1,4,0,0,0,0,0,0,5,0
820280315,0,2,0,0,0,0,0,0,2,0
820280316,0,12,1,0,0,0,0,0,13,0
820280317,6,3,0,0,0,0,0,0,9,0
820280318,5,14,0,0,0,0,0,0,20,1
820280319,0,3,0,0,0,0,0,0,3,0
820280320,3,18,0,0,0,0,0,2,23,0
820280321,3,11,0,0,0,0,0,1,15,0
820280322,1,46,20,0,0,0,0,23,90,0
820280323,5,11,0,0,0,0,0,0,16,0
820280324,6,38,1,0,0,0,0,1,46,0
820280325,4,7,0,0,0,0,0,0,11,0
820280326,11,25,4,0,8,0,0,1,49,0
820280327,2,9,0,0,0,0,0,0,11,0
820280401,5,15,8,0,0,0,0,1,29,0
820280402,8,11,0,1,1,0,0,4,25,0
820280403,14,32,0,0,0,0,0,6,52,0
820280404,12,16,0,0,0,0,0,1,29,0
820280405,6,46,2,1,8,0,0,3,66,0
820280406,3,0,0,1,0,0,0,0,4,0
820280407,1,4,0,2,0,0,3,0,10,0
820280408,0,0,0,0,0,0,0,0,0,0
820280409,6,2,0,0,0,0,0,0,8,0
820280410,5,15,0,0,8,0,0,2,30,0
820280411,8,6,0,0,0,0,1,0,15,0
820280412,6,2,0,0,0,0,0,0,8,0
820280413,6,0,0,0,0,0,0,0,6,0
820280414,3,1,0,0,0,0,0,0,4,0
820280415,9,9,0,0,0,0,0,0,18,0
820280501,9,56,2,0,0,0,2,18,87,0
820280502,1,6,5,0,0,0,0,0,12,0
820280503,6,5,0,0,1,0,1,0,13,0
820280504,4,1,0,0,0,0,0,0,5,0
820280505,18,16,3,2,0,0,0,2,41,0
820280506,10,16,6,0,0,0,0,9,41,0
820280507,8,2,0,0,0,0,0,0,10,0
820280508,15,16,1,0,0,0,2,0,34,0
820280509,10,17,1,0,0,0,0,0,28,0
820280510,3,4,0,0,0,0,0,0,7,0
820280511,6,8,1,0,0,0,0,0,15,0
820280512,36,42,1,0,0,0,0,1,80,0
820280513,7,9,2,4,0,0,0,0,22,0
820280514,8,14,0,0,0,0,1,0,23,0
820280515,15,45,2,0,8,0,0,1,71,0
820280516,4,5,0,0,0,0,0,0,9,0
820280517,14,9,0,0,0,0,0,0,23,0
820289201,3,11,0,0,0,0,0,1,15,0
820350101,3,32,3,0,0,0,0,2,40,0
820350102,7,64,2,0,0,0,0,17,90,0
820350103,2,10,0,0,0,0,0,17,29,0
820350104,0,2,0,0,0,0,0,1,3,0
820350105,2,3,0,0,0,0,0,1,6,0
820350106,5,70,1,0,0,0,0,50,126,0
820350107,2,10,0,0,0,0,0,3,15,0
820350108,0,48,0,0,0,0,0,4,52,0
820350109,0,41,0,0,0,0,0,8,49,0
820350110,0,52,0,0,0,0,0,5,57,0
820350111,2,46,0,0,0,0,0,1,49,0
820350112,0,78,2,0,0,0,0,16,96,0
820350113,16,45,0,0,0,0,0,2,63,0
820350114,5,19,0,0,0,0,0,3,27,0
820350115,0,1,0,0,0,0,0,1,2,0
820350116,4,14,0,0,0,0,0,3,21,0
820350117,0,38,0,0,0,0,2,11,51,0
820350201,0,2,0,0,0,0,0,0,2,0
820350202,4,108,0,0,0,0,0,22,134,0
820350203,1,14,0,0,0,0,0,0,15,0
820350204,2,5,0,0,0,0,0,2,9,0
820350205,2,7,0,0,0,0,0,2,11,0
820350206,2,57,0,0,0,0,0,4,63,0
820350207,7,138,1,0,0,0,0,24,172,2
820350208,1,45,0,0,0,0,0,5,51,0
820350209,13,91,13,0,0,0,0,17,134,0
820350210,12,30,0,0,0,0,0,7,49,0
820350211,10,117,1,0,1,0,2,6,137,0
820350212,7,121,0,0,0,0,8,1,137,0
820350213,4,73,0,0,0,0,0,8,85,0
820420101,1,0,0,0,0,0,0,0,1,0
820420102,2,15,0,0,1,0,0,0,18,0
820420103,4,12,0,0,0,0,1,0,17,0
820420104,1,25,0,0,0,0,1,2,29,0
820420105,3,1,0,0,0,0,0,0,4,0
820420106,1,3,0,0,0,0,0,0,4,0
820420107,10,22,0,0,0,0,0,0,32,0
820420108,7,6,0,0,0,0,0,0,13,0
820420109,2,4,0,0,0,0,0,0,6,0
820420110,5,8,0,0,0,0,0,0,13,0
820420111,5,9,0,0,0,0,0,1,15,0
820420112,1,4,0,0,0,0,0,0,5,0
820420113,0,3,0,0,0,0,0,0,3,0
820420115,8,18,0,0,0,0,0,0,26,0
820420116,4,6,0,0,0,0,0,0,10,0
820420117,8,20,1,0,0,0,0,0,29,0
820420118,1,5,0,0,0,0,0,1,7,0
820420119,7,9,14,0,0,0,0,0,30,0
820420120,4,8,0,0,0,0,0,2,14,0
820420121,1,17,0,0,0,0,0,4,22,0
820420122,3,25,0,0,0,0,0,2,30,0
820420123,0,29,0,0,0,0,0,1,30,0
820420124,9,6,0,0,0,0,0,0,16,1
820420201,17,2,0,0,0,0,0,2,21,0
820420202,6,16,0,0,0,0,0,0,22,0
820420203,4,1,0,0,0,0,0,0,5,0
820420204,12,5,0,0,0,0,0,0,17,0
820420205,4,24,0,0,0,0,0,2,30,0
820420206,10,50,3,0,0,0,0,3,66,0
820420207,3,4,0,0,1,0,1,0,9,0
820420208,1,27,1,0,0,0,0,0,29,0
820420209,2,2,0,0,0,0,0,0,4,0
820420210,4,21,0,0,0,0,0,1,26,0
820420211,4,11,0,0,0,0,0,0,17,2
820420212,3,28,0,0,0,0,0,4,35,0
820420213,3,5,0,0,0,0,1,0,9,0
820420214,6,34,0,0,0,0,0,1,41,0
820420215,5,20,0,0,0,0,0,1,26,0
820420216,5,12,0,0,0,0,0,1,18,0
820420217,2,9,1,0,0,0,0,0,12,0
820420218,7,3,0,0,0,0,0,0,10,0
820420219,4,11,0,1,0,0,0,0,16,0
820420220,0,3,0,0,0,0,1,0,4,0
820420221,6,8,0,0,0,0,0,0,14,0
820420222,1,5,0,0,1,0,0,0,7,0
820420301,2,0,0,0,0,0,0,0,2,0
820420302,7,3,1,0,0,0,0,2,13,0
820420303,14,9,0,0,0,0,0,0,23,0
