radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820280206,0,0,0,0,0,0,0,1,1,0
820280207,0,6,2,0,0,0,0,1,9,0
820280208,0,2,0,0,0,0,0,1,3,0
820280209,0,11,0,0,0,0,0,0,11,0
820280210,0,5,0,0,0,0,0,1,6,0
820280211,0,12,0,0,0,0,0,1,13,0
820280212,0,53,0,0,0,0,0,0,53,0
820280213,0,1,0,0,0,0,0,0,1,0
820280214,0,8,0,0,0,0,0,0,8,0
820280215,1,1,0,0,0,0,0,0,2,0
820280216,0,8,0,0,0,0,0,0,8,0
820280217,1,2,0,0,0,0,0,1,4,0
820280218,1,1,0,0,0,0,0,0,2,0
820280219,1,1,0,0,0,0,0,0,2,0
820280220,0,5,0,0,0,0,0,0,5,0
820280221,0,5,0,0,0,0,0,1,6,0
820280301,0,171,29,0,4,0,0,23,227,0
820280302,0,4,0,0,1,0,1,0,6,0
820280303,1,7,0,0,0,0,0,0,8,0
820280304,0,1,0,0,0,0,0,0,1,0
820280305,0,0,0,0,0,0,0,0,0,0
820280306,4,16,1,0,0,0,0,9,30,0
820280307,0,19,1,0,0,0,0,0,20,0
820280308,0,1,0,0,0,0,0,0,1,0
820280309,0,43,2,0,0,0,0,1,46,0
820280310,1,17,1,0,0,0,0,2,21,0
820280311,0,3,0,0,0,0,0,0,3,0
820280312,0,3,0,0,0,0,0,2,5,0
820280313,0,8,0,0,0,0,0,0,8,0
820280314,0,5,0,0,0,0,0,0,5,0
820280315,0,1,0,0,0,0,0,0,1,0
820280316,0,11,1,0,0,0,0,0,12,0
820280317,6,3,0,0,0,0,0,1,10,0
820280318,0,16,0,0,0,0,0,0,16,0
820280319,0,3,0,0,0,0,0,0,3,0
820280320,0,20,2,0,0,0,0,2,24,0
820280321,0,11,0,0,0,0,0,1,12,0
820280322,0,54,21,0,0,0,0,30,105,0
820280323,3,11,0,0,0,0,0,0,14,0
820280324,2,38,0,0,0,0,0,1,41,0
820280325,2,7,0,0,0,0,0,0,9,0
820280326,0,24,5,0,7,0,0,1,37,0
820280327,0,10,0,0,0,0,0,0,10,0
820280401,0,22,10,0,0,0,0,1,33,0
820280402,0,11,0,0,1,0,0,1,13,0
820280403,0,31,0,0,0,0,0,4,35,0
820280404,0,18,0,0,0,0,0,1,19,0
820280405,0,42,2,0,7,0,0,3,54,0
820280406,0,0,0,1,0,0,0,0,1,0
820280407,0,4,0,0,0,0,0,0,4,0
820280408,0,2,0,0,0,0,0,0,2,0
820280409,0,2,0,0,0,0,0,0,2,0
820280410,0,12,0,0,7,0,0,2,21,0
820280411,0,7,0,0,0,0,0,0,7,0
820280412,0,2,0,0,0,0,0,0,2,0
820280413,0,0,0,0,0,0,0,0,0,0
820280414,0,1,0,0,0,0,0,0,1,0
820280415,0,8,0,0,0,0,0,0,8,0
820280501,0,57,2,0,0,0,5,16,80,0
820280502,0,6,4,0,0,0,0,0,10,0
820280503,0,5,0,0,1,0,1,0,7,0
820280504,0,1,0,0,0,0,0,0,1,0
820280505,0,17,3,1,0,0,0,2,23,0
820280506,0,16,6,0,0,0,0,3,25,0
820280507,0,2,0,0,0,0,0,0,2,0
820280508,1,16,1,0,0,0,2,0,20,0
820280509,0,17,2,0,0,0,0,0,19,0
820280510,0,5,0,0,0,0,0,0,5,0
820280511,0,10,1,0,0,0,0,0,11,0
820280512,0,45,1,0,0,0,0,1,47,0
820280513,0,9,0,2,0,0,0,0,11,0
820280514,0,14,0,0,0,0,0,0,14,0
820280515,1,42,2,0,7,0,0,0,52,0
820280516,0,6,0,0,0,0,0,0,6,0
820280517,0,11,1,0,0,0,0,0,12,0
820289201,3,11,0,0,0,0,0,1,15,0
820350101,2,37,16,0,0,0,0,3,59,1
820350102,0,70,2,0,0,0,0,20,92,0
820350103,1,11,0,0,0,0,0,23,37,2
820350104,0,2,0,0,0,0,0,1,3,0
820350105,2,3,0,0,0,0,0,3,8,0
820350106,0,81,1,0,0,0,0,64,146,0
820350107,2,10,0,0,0,0,0,3,15,0
820350108,0,61,1,0,0,0,0,9,71,0
820350109,0,41,0,0,0,0,0,9,50,0
820350110,0,61,0,0,1,0,0,11,73,0
820350111,0,46,0,0,0,0,0,3,49,0
820350112,0,84,2,0,0,0,0,20,106,0
820350113,0,47,0,2,0,0,0,3,52,0
820350114,0,20,0,0,0,0,0,4,24,0
820350115,0,3,0,0,0,0,0,4,7,0
820350116,0,16,0,0,0,0,0,3,19,0
820350117,0,37,0,0,0,0,2,11,50,0
820350201,0,2,0,0,0,0,0,0,2,0
820350202,2,121,1,0,0,0,0,24,148,0
820350203,1,16,0,0,0,0,0,0,17,0
820350204,0,6,0,0,0,0,0,5,11,0
820350205,1,7,0,0,0,0,0,2,10,0
820350206,1,59,0,0,0,0,0,5,65,0
820350207,5,154,1,0,0,0,0,28,190,2
820350208,0,48,0,0,0,0,0,7,55,0
820350209,5,104,14,0,0,0,0,22,145,0
820350210,1,29,0,0,0,0,0,10,40,0
820350211,0,123,1,0,1,0,2,8,135,0
820350212,1,123,0,0,0,0,8,2,134,0
820350213,0,75,0,0,0,0,0,10,85,0
820420101,1,0,0,0,0,0,0,0,1,0
820420102,0,18,0,0,1,0,0,1,20,0
820420103,2,14,0,0,0,0,1,0,17,0
820420104,0,26,0,0,0,0,1,2,29,0
820420105,3,1,2,0,0,0,0,0,6,0
820420106,1,4,0,0,0,0,0,0,5,0
820420107,0,25,0,0,0,0,0,1,26,0
820420108,0,6,0,0,0,0,0,0,6,0
820420109,0,4,0,0,0,0,0,0,4,0
820420110,1,8,0,0,0,0,0,1,11,1
820420111,0,10,0,0,0,0,0,1,11,0
820420112,0,4,0,0,0,0,0,0,4,0
820420113,0,4,0,0,0,0,0,0,4,0
820420115,6,19,0,0,0,0,0,0,25,0
820420116,2,5,0,0,0,0,0,0,7,0
820420117,3,21,1,0,0,0,0,0,26,1
820420118,0,5,0,0,0,0,0,2,7,0
820420119,4,8,14,0,0,0,0,1,29,2
820420120,4,9,1,0,0,0,0,3,17,0
820420121,0,22,0,0,0,0,0,4,26,0
820420122,0,25,0,0,0,0,0,3,28,0
820420123,0,32,0,0,0,0,0,1,33,0
820420124,9,6,1,0,0,0,0,0,19,3
820420201,7,2,0,0,0,0,0,4,13,0
820420202,4,16,0,0,0,0,0,0,20,0
820420203,4,4,0,0,0,0,0,0,8,0
820420204,4,4,0,0,0,0,0,0,14,6
820420205,3,24,0,0,0,0,0,3,30,0
820420206,0,54,5,0,0,0,0,5,64,0
820420207,3,4,0,0,1,0,1,0,9,0
820420208,0,33,1,0,0,0,0,0,34,0
820420209,2,2,0,0,0,0,0,0,4,0
820420210,3,30,0,0,0,0,0,2,35,0
820420211,2,10,0,0,0,0,0,0,15,3
820420212,0,31,0,0,0,0,0,4,35,0
820420213,0,5,0,0,0,0,1,0,6,0
820420214,1,37,0,0,0,0,0,1,39,0
820420215,1,23,0,0,0,0,1,1,26,0
820420216,5,12,0,0,0,0,0,1,18,0
820420217,1,9,1,0,0,0,0,0,11,0
820420218,4,3,0,0,0,0,0,0,7,0
820420219,0,13,0,1,0,0,1,0,15,0
820420220,0,3,0,0,0,0,0,0,3,0
820420221,0,8,0,0,0,1,0,0,9,0
820420222,0,6,0,0,1,0,0,2,9,0
820420301,1,0,0,0,0,0,0,0,2,1
820420302,7,6,4,0,0,0,0,2,20,1
820420303,13,9,0,0,0,0,0,0,22,0
