radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,NSA :,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210715,10,17,0,0,0,0,0,0,1,29,1
820210716,10,19,0,0,0,0,0,0,0,29,0
820210717,325,73,0,17,0,0,5,0,0,420,0
820210718,250,88,1,14,3,0,0,0,1,357,0
820210719,189,43,1,4,0,0,0,0,2,239,0
820210720,235,48,0,11,0,0,0,0,0,294,0
820210721,178,68,0,1,0,0,0,0,1,248,0
820210722,381,171,7,3,0,0,0,2,3,567,0
820210723,7,0,0,0,0,0,0,0,0,7,0
820210724,208,43,0,1,1,0,0,0,2,255,0
820210725,151,57,0,2,0,0,0,0,3,213,0
820210726,205,83,0,11,0,0,0,0,6,305,0
820210801,146,0,0,56,0,0,0,0,0,202,0
820210802,236,2,0,89,0,3,9,6,0,342,0
820210803,252,2,0,14,0,3,0,2,0,270,0
820210804,270,4,0,46,0,0,0,1,0,321,0
820210805,282,1,1,16,0,0,5,0,0,305,0
820210806,183,6,0,16,0,0,0,0,0,205,0
820210807,344,34,0,22,0,0,0,0,0,400,0
820210808,232,26,0,12,0,0,0,1,0,271,0
820210809,278,19,0,20,0,0,0,1,0,318,0
820210810,313,24,0,12,3,0,0,0,12,364,0
820210811,343,9,0,15,0,0,0,1,0,368,0
820210812,174,1,0,23,0,0,0,0,0,198,0
820210813,200,66,3,9,0,0,0,3,3,284,0
820210814,332,31,3,17,1,0,0,1,1,386,0
820210815,192,84,4,1,0,0,1,0,3,285,0
820210901,387,6,0,39,0,0,0,0,0,432,0
820210902,298,14,3,40,3,0,0,0,0,358,0
820210903,302,31,2,42,1,0,0,0,1,379,0
820210904,473,23,0,23,0,0,0,0,0,519,0
820210905,207,12,0,38,0,0,0,1,0,258,0
820210906,232,4,0,13,0,1,5,1,0,255,0
820210907,314,6,0,25,0,0,0,1,0,346,0
820210908,57,0,0,1,0,2,0,0,0,58,0
820210909,237,0,0,23,0,2,0,4,0,264,0
820210910,176,2,3,10,0,0,0,0,0,191,0
820210911,333,29,1,15,0,0,0,5,0,383,0
820210912,396,18,1,7,0,0,0,3,0,425,0
820210913,219,21,1,12,0,0,0,0,0,253,0
820210914,273,7,0,18,0,0,0,0,0,298,0
820211001,64,10,1,0,0,0,0,0,0,75,0
820211002,192,13,0,0,0,0,0,0,0,205,0
820211003,47,22,0,0,0,0,0,0,0,69,0
820211004,21,20,3,0,0,0,0,0,0,44,0
820211005,43,8,0,0,0,0,0,1,0,52,0
820211006,430,32,0,0,0,1,0,0,0,462,0
820211007,368,9,0,2,0,0,0,1,0,380,0
820211008,426,9,0,4,0,3,0,0,0,439,0
820211009,374,39,0,0,0,0,0,1,1,415,0
820211010,14,2,0,0,0,0,0,0,0,16,0
820211011,34,8,0,0,0,0,0,0,8,50,0
820211012,49,27,0,0,4,0,0,0,0,80,0
820211013,406,36,4,0,2,2,0,0,2,450,0
820211014,321,34,0,0,1,0,0,2,0,358,0
820211015,387,9,0,0,0,1,0,0,1,397,0
820211016,273,5,0,2,0,0,0,0,0,280,0
820211017,358,9,0,0,0,2,0,0,0,367,0
820211018,314,6,0,0,0,0,0,0,0,320,0
820280101,516,16,0,0,1,0,0,1,1,535,0
820280102,235,2,0,0,1,1,0,0,0,238,0
820280103,212,5,0,0,0,0,0,0,3,220,0
820280104,390,51,3,1,0,3,0,1,5,451,0
820280105,491,90,7,0,0,0,0,1,6,595,0
820280106,16,4,0,0,0,0,0,0,0,20,0
820280107,124,20,4,0,0,0,0,0,0,148,0
820280108,211,11,0,31,0,0,0,5,0,258,0
820280109,202,12,0,0,0,3,0,0,0,217,3
820280110,73,8,0,0,0,0,0,0,0,81,0
820280111,46,2,0,0,0,0,0,1,1,50,0
820280112,339,15,0,0,2,0,0,2,2,360,0
820280113,345,15,0,0,0,3,0,0,0,360,0
820280114,261,29,3,0,1,2,0,0,0,294,0
820280115,13,0,0,0,0,0,0,0,0,13,0
820280116,17,1,1,0,0,0,0,0,1,21,1
820280117,298,32,0,0,2,0,0,0,1,334,1
820280118,17,3,0,0,0,0,0,0,0,20,0
820280119,37,4,0,0,0,0,0,0,0,42,1
820280120,162,1,0,10,0,0,0,0,0,173,0
820280121,220,5,0,0,0,0,0,0,0,225,0
820280122,252,7,0,2,2,0,0,0,0,263,0
820280123,196,6,1,0,0,1,0,0,1,204,0
820280124,221,8,0,0,1,0,0,1,0,231,0
820280201,533,44,2,4,1,0,0,5,3,592,0
820280202,37,7,0,0,0,0,0,0,0,44,0
820280203,126,11,0,0,3,0,0,0,0,140,0
820280204,313,5,2,2,0,0,0,0,1,323,0
820280205,414,68,3,0,0,1,0,0,5,490,0
820280206,37,1,0,0,0,0,0,0,1,39,0
820280207,275,8,2,0,0,0,0,0,2,287,0
820280208,81,2,0,0,0,1,0,0,1,84,0
820280209,94,20,0,0,0,0,0,0,0,114,0
820280210,14,8,0,0,0,0,0,0,1,23,0
820280211,323,18,0,0,0,2,0,0,1,342,0
820280212,196,69,1,0,0,0,0,0,0,266,0
820280213,12,3,0,0,0,0,0,0,0,15,0
820280214,205,17,0,0,0,0,0,0,0,222,0
820280215,21,1,0,0,0,0,0,0,0,22,0
820280216,210,24,1,0,0,0,0,0,0,235,0
820280217,22,5,0,0,0,0,0,0,1,28,0
820280218,12,1,0,0,0,0,0,0,0,13,0
820280219,12,1,0,0,0,0,0,0,1,14,0
820280220,260,6,0,1,0,0,0,0,0,267,0
820280221,277,7,0,0,0,0,0,0,1,285,0
820280301,212,259,75,0,6,2,0,0,49,601,0
820280302,310,11,2,14,5,2,0,1,0,343,0
820280303,339,12,2,4,0,0,0,0,2,359,0
820280304,325,1,1,2,0,2,0,0,0,329,0
820280305,260,3,3,2,0,0,0,0,0,268,0
820280306,228,22,1,147,4,0,0,0,16,418,0
820280307,329,28,6,0,0,1,0,0,1,364,0
820280308,318,5,1,0,3,1,0,0,0,327,0
820280309,634,86,6,0,0,0,0,0,3,729,0
820280310,39,18,1,0,0,0,0,0,2,60,0
820280311,264,11,1,0,0,0,0,0,0,276,0
820280312,99,8,2,0,0,1,0,0,2,111,0
820280313,142,16,0,0,0,0,0,0,0,158,0
820280314,164,8,0,1,0,0,0,0,0,173,0
820280315,61,2,0,0,0,0,0,0,0,63,0
820280316,211,16,1,0,0,1,0,0,1,229,0
820280317,30,6,0,0,0,0,0,0,1,37,0
820280318,308,22,0,0,1,0,0,1,0,333,1
820280319,145,4,0,3,0,0,0,0,0,152,0
820280320,192,30,2,0,0,0,0,0,2,226,0
820280321,206,20,0,0,0,0,0,0,2,228,0
820280322,31,81,40,0,0,0,0,0,46,198,0
820280323,40,11,0,0,0,0,0,0,2,53,0
820280324,194,64,3,0,1,0,0,0,2,264,0
820280325,31,7,0,0,0,0,0,0,0,38,0
820280326,442,59,16,1,8,1,0,1,1,528,0
